City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
49,Touros,BR,2020-05-08 18:38:38,-5.2,-35.46,84.2,74,75,11.41,broken clouds,0,0
50,Puerto Ayora,EC,2020-05-08 18:36:36,-0.74,-90.35,84.2,70,20,20.8,few clouds,0,0
51,Nikolskoye,RU,2020-05-08 18:37:44,59.7,30.79,51.01,39,0,4.47,clear sky,0,0
52,Airai,TL,2020-05-08 18:40:10,-8.93,125.41,55.99,84,0,3.13,clear sky,0,0
53,Salalah,OM,2020-05-08 18:37:47,17.02,54.09,84.2,89,20,3.36,few clouds,0,0
54,Iqaluit,CA,2020-05-08 18:33:27,63.75,-68.51,33.8,47,75,11.41,broken clouds,0,0
55,Geraldton,AU,2020-05-08 18:36:47,-28.77,114.6,50.0,81,0,5.82,clear sky,0,0
56,Kanina,CD,2020-05-08 18:44:56,-10.73,25.47,62.02,85,3,6.82,clear sky,0,0
57,Khatanga,RU,2020-05-08 18:37:31,71.97,102.5,19.85,93,100,19.82,overcast clouds,0,0
58,Kloulklubed,PW,2020-05-08 18:44:56,7.04,134.26,80.6,83,75,13.87,broken clouds,0,0
59,Rikitea,PF,2020-05-08 18:36:22,-23.12,-134.97,75.76,71,29,8.46,scattered clouds,0,0
60,Adamantina,BR,2020-05-08 18:44:58,-21.69,-51.07,71.33,51,0,6.4,clear sky,0,0
61,Hobart,AU,2020-05-08 18:37:32,-42.88,147.33,53.6,76,90,1.12,light rain,0,0
62,Gimbi,ET,2020-05-08 18:44:58,9.17,35.83,62.28,93,100,1.79,light rain,0,0
63,Bluff,NZ,2020-05-08 18:36:33,-46.6,168.33,50.95,78,61,13.0,broken clouds,0,0
64,Dauphin,CA,2020-05-08 18:42:05,51.15,-100.05,48.2,31,20,9.17,few clouds,0,0
65,Vaitape,PF,2020-05-08 18:41:15,-16.52,-151.75,82.94,76,100,14.12,overcast clouds,0,0
66,Provideniya,RU,2020-05-08 18:36:20,64.38,-173.3,36.09,80,100,17.72,overcast clouds,0,0
67,Bluefield,US,2020-05-08 18:44:59,37.27,-81.22,45.0,93,90,23.04,light rain,0,0
68,Havre-Saint-Pierre,CA,2020-05-08 18:38:43,50.23,-63.6,44.6,56,75,14.99,broken clouds,0,0
69,Agadir,MA,2020-05-08 18:43:18,30.42,-9.6,71.6,56,0,14.99,clear sky,0,0
70,Kruisfontein,ZA,2020-05-08 18:38:20,-34.0,24.73,58.15,97,0,2.84,clear sky,0,0
71,Port-Gentil,GA,2020-05-08 18:37:58,-0.72,8.78,78.8,94,75,12.75,thunderstorm with light rain,0,0
72,Lebu,CL,2020-05-08 18:37:32,-37.62,-73.65,61.99,77,100,15.3,overcast clouds,0,0
73,Esperance,AU,2020-05-08 18:36:15,-33.87,121.9,50.0,93,90,5.82,overcast clouds,0,0
74,Fortuna,US,2020-05-08 18:37:56,40.6,-124.16,60.01,82,1,9.17,clear sky,0,0
75,Vorotynsk,RU,2020-05-08 18:45:05,54.43,36.05,48.2,87,100,2.24,overcast clouds,0,0
76,Tura,IN,2020-05-08 18:41:21,25.52,90.22,74.52,41,0,3.47,clear sky,0,0
77,Kemi,FI,2020-05-08 18:45:06,65.86,24.82,37.4,47,85,1.12,overcast clouds,0,0
