City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Sao Filipe,CV,75.88,clear sky,14.9,-24.5,Tortuga B&B
361,Laguna,US,82.4,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
363,San Jose,US,86.0,broken clouds,37.34,-121.89,The Westin San Jose
367,Tabou,CI,82.2,broken clouds,4.42,-7.35,hotêl doufoulougou
369,Bansi,IN,85.78,clear sky,27.18,82.93,Urvasi Hotel
372,Cayenne,GF,86.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
376,Kanigoro,ID,75.27,overcast clouds,-8.13,112.22,Kampoeng Soekarelawan Pmi Jatim 2017
377,Dingle,PH,78.82,overcast clouds,11.0,122.67,Camp Pasica
380,Vila Do Maio,CV,77.0,scattered clouds,15.13,-23.22,Residence 'I Delfini'
382,Puerto Escondido,MX,86.0,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
385,Altamira,BR,87.8,scattered clouds,-3.2,-52.21,Requinte Hotel
387,Tiarei,PF,84.0,clear sky,-17.53,-149.33,Le Rocher de Tahiti
396,Jalu,LY,75.43,clear sky,29.03,21.55,Jalu Hotel
398,Valle De Allende,MX,80.64,broken clouds,26.93,-105.4,Hotel Meson de San Bartolome
402,Maragogi,BR,81.25,overcast clouds,-9.01,-35.22,Hotel Praia Dourada
404,Moerai,PF,78.01,overcast clouds,-22.43,-151.33,Le Manotel
408,Mithi,PK,82.47,clear sky,24.73,69.8,Jhipio
409,Nieuw Amsterdam,SR,88.0,scattered clouds,5.88,-55.08,Hotel Stardust
412,Lazaro Cardenas,MX,87.42,overcast clouds,17.96,-102.2,Hotel Quinta Antigua
414,San Patricio,MX,80.6,haze,19.22,-104.7,Hotel Cabo Blanco
415,Portland,US,75.99,clear sky,45.52,-122.68,Portland Marriott City Center
421,Bam,IR,80.78,clear sky,29.11,58.36,Bam Tourist Hotel
423,Isla Vista,US,84.0,fog,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
426,Matara,LK,80.4,broken clouds,5.95,80.54,Amaloh Boutique Resort
427,Ejido,VE,81.1,light rain,8.55,-71.24,Bora Bora Nails & Spa C.A.
434,Sinnamary,GF,80.53,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
437,Kasongo-Lunda,CD,76.06,few clouds,-6.47,16.82,
441,Awjilah,LY,75.27,clear sky,29.11,21.29,
444,Plaridel,PH,86.0,broken clouds,14.89,120.86,Teresa's Apartments
448,Fare,PF,82.81,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
450,Odweyne,SO,77.7,broken clouds,9.41,45.06,Eng Hiirey House
